Id,Title,Category,Price,Url,ImageUrl
7507586187446,"NexGard Spectra Chewables For Very Large Dogs Red 30.1-60kg",dog-parasite-prevention,$30.95,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/nexgard-spectra-chewables-for-very-large-dogs-red-30-1-60kg,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/nexgard-spectra-x3-retail-pack-shot-angle-30.1-60kg-xlarge_ed6d949c-ebec-4f4c-bc6b-c9b88e35ad6f_1024x1024.jpg?v=1667940000
7507618037942,"NexGard Spectra Chewables For Small Dogs Yellow 3.6 -7.5kg",dog-parasite-prevention,$24.95,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/nexgard-spectra-chewables-for-small-dog-yellow-3-6-7-5kg,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/nexgard-spectra-x3-retail-pack-shot-angle-3.6-7.5kg-small_1_db43354d-37b6-410a-a02c-f9d7260f6481_1024x1024.jpg?v=1667940766
7507611844790,"NexGard Spectra Chewables For Medium Dogs Green 7.6-15kg",dog-parasite-prevention,$27.96,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/nexgard-spectra-chewables-for-medium-dogs-green-7-6-15kg,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/nexgard-spectra-x3-retail-pack-shot-angle-7.6-15kg-medium_18ce9166-feb4-4aca-b8be-463ab9a26d1d_1024x1024.jpg?v=1667940631
7507837026486,"Bravecto For Large Dogs 20-40kg Chew",dog-parasite-prevention,$42.16,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/bravecto-for-large-dogs-20-40kg-chews,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/BRAVECTOCHEWDOG20-40kgRHS2019_1_-min_bd9a2875-baf8-4cc6-a66a-9f33907f389c_1024x1024.png?v=1667948591
7507784958134,"Simparica TRIO For Dogs 20.1- 40kg Green Large",dog-parasite-prevention,$46.76,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/simparica-trio-for-dogs-20-1-40kg-green-large,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/Large_12dab12f-5e56-4913-b729-789c7c05ebea_1024x1024.jpg?v=1667945924
7507840237750,"Bravecto For Medium Dogs 10-20kg Chew",dog-parasite-prevention,$42.16,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/bravecto-for-medium-dogs-10-20kg-chew,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/BRAVECTODOG2PKCHEW10-20kgRHS20201560px-min_c96cf3f7-b197-49b4-9b2a-b7caf0f4cb2d_1024x1024.jpg?v=1667948850
7507838959798,"Bravecto For Small Dogs 4.5-10kg  Chew",dog-parasite-prevention,$42.16,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/bravecto-for-small-dogs-4-5-10kg-chew,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/BRAVECTOCHEWDOG4.5-10kgRHS2019-min_2dd9accd-4b72-4ce0-ba6b-aac04ac47701_1024x1024.png?v=1667948747
7273296724150,"Milbemax for Dogs Wormer Over 5kg",dog-parasite-prevention,$23.06,https://yourpetpa.com.au/collections/dog-parasite-prevention/products/milbemax-wormer-dog-over-5kg,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/milbemaxlargedog_1024x1024.jpg?v=1646358463
7204791681206,"Beco Can Cover For Dogs and Cats",dog-accessories,$5.95,https://yourpetpa.com.au/collections/dog-accessories/products/beco-can-cover-for-dogs-and-cats,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/beco-pets-silicone-can-cover-1_1024x1024.jpg?v=1642389478
7200277102774,"Beco Poop Bags Single Roll",dog-accessories,$2.50,https://yourpetpa.com.au/collections/dog-accessories/products/beco-poop-bags-single-roll,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/83b551c09cd85c014dffb2de9a74eec3.image.225x271_1024x1024.jpg?v=1639546812
6983945060534,"KONG Classic Dog Toy",dog-accessories,$9.77,https://yourpetpa.com.au/collections/dog-accessories/products/kong-classic-dog-toy,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/KK_1___60240.1573789496_1024x1024.jpg?v=1630132611
7204794695862,"Beco Bamboo Mashing Spork",dog-accessories,$3.99,https://yourpetpa.com.au/collections/dog-accessories/products/beco-bamboo-mashing-spork,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/ScreenShot2021-12-21at1.22.32pm_1024x1024.png?v=1640057261
6983964459190,"KONG Extreme Dog Toy",dog-accessories,$12.28,https://yourpetpa.com.au/collections/dog-accessories/products/kong-extreme-dog-toy,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/kong-extreme-black__81426.1597647641.386.513_1024x1024.png?v=1630133102
7125961146550,"Rogz Flossy Grinz Dental Toy",dog-accessories,$12.99,https://yourpetpa.com.au/collections/dog-accessories/products/rogz-flossy-grinz-dental-toy,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/FGR03-B-FlossyGrinz-Blue_1024x1024.jpg?v=1635124380
6983977074870,"KONG Puppy Dog toy",dog-accessories,$8.14,https://yourpetpa.com.au/collections/dog-accessories/products/kong-puppy-dog-toy,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/KONG-puppy-both__97527.1573795093_1024x1024.jpg?v=1630133446
7204796596406,"Beco Bowl For Cats",dog-accessories,$7.99,https://yourpetpa.com.au/collections/dog-accessories/products/beco-bowl-for-cats,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/ScreenShot2021-12-21at1.33.06pm_1024x1024.png?v=1640057693
7424824443062,"Beco Eco Friendly Bags For Dogs",dog-accessories,$6.32,https://yourpetpa.com.au/collections/dog-accessories/products/beco-eco-friendly-bags-for-dogs,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/eyJidWNrZXQiOiJ3ZWItbmluamEtaW1hZ2VzIiwia2V5IjoidGltZXBldG5ld1wvaW1hZ2VzXC9wcm9kaW1nXC8xMzI0XzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODAsImhlaWdodCI6NDgwLCJmaXQiOiJpbnNpZGUiLCJ_1024x1024.webp?v=1659067358
7129219334326,"Oravet Dental Hygiene Chews For Small Dogs",treats,$33.60,https://yourpetpa.com.au/collections/treats/products/oravet-dental-hygiene-chews-for-small-dogs,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/OraVet_pouch_small_dog_1024x1024.png?v=1654665762
7129222774966,"Oravet Dental Hygiene Chews For Medium Dogs",treats,$44.83,https://yourpetpa.com.au/collections/treats/products/oravet-dental-hygiene-chews-for-medium-dogs,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/17_1024x1024.png?v=1637798615
6973024993462,"Oravet Dental Hygiene Chews For Large Dogs",treats,$33.60,https://yourpetpa.com.au/collections/treats/products/oravet-dental-hygiene-chews-for-largepdogs,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/oravet-dental-hygiene-chews-large_1024x1024.png?v=1658281454
7199977930934,"Royal Canin Educ Training Treat Sachets",treats,$2.10,https://yourpetpa.com.au/collections/treats/products/royal-canin-educ-training-treat-sachets,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/royal-canin-educ-training-treat-sachets_1024x1024.png?v=1639530078
7243465195702,"Prozym Dental Sticks",treats,$12.90,https://yourpetpa.com.au/collections/treats/products/prozym-dental-sticks,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/prozym-rf2-dental-sticks_1024x1024.png?v=1658195798
7204842766518,"Pig Ears",treats,$3.00,https://yourpetpa.com.au/collections/treats/products/pig-ear-singles,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/ScreenShot2021-12-21at2.52.24pm_1024x1024.png?v=1640062362
7129217597622,"Oravet Dental Hygiene Chews For Extra Small Dogs",treats,$22.99,https://yourpetpa.com.au/collections/treats/products/oravet-dental-hygiene-chews-for-extra-small-dogs,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/OraVet_pouch_extra_small_dog_1024x1024.png?v=1654665779
7243455299766,"Roo Sticks Treat",treats,$3.00,https://yourpetpa.com.au/collections/treats/products/roo-sticks-treat,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/Kangaroo-B131-RooSticks-1_1024x1024.jpg?v=1643343793
7281655972022,"Vets Best Rewards Lamb Liver Treats",treats,$8.12,https://yourpetpa.com.au/collections/treats/products/vets-best-rewards-lamb-liver-treats,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/vetsbestrewards_1024x1024.jpg?v=1647047111
6983546011830,"Aloveen Starter Pack",grooming,$19.85,https://yourpetpa.com.au/collections/grooming/products/aloveen-starter-pack,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/aloveen-starter-pack__53862.1557051244.386.513_1024x1024.jpg?v=1630120709
6983374078134,"Malaseb Medicated Shampoo",grooming,$17.91,https://yourpetpa.com.au/collections/grooming/products/malaseb-medicated-shampoo,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/MALASS_7851__80794.1557043927_70d1f2d9-df0c-4361-bd4d-8b20cc8983ec_1024x1024.jpg?v=1655185087
6980041048246,"Epi Otic Pet Ear and Skin Cleanser",grooming,$15.28,https://yourpetpa.com.au/collections/grooming/products/epi-otic-pet-ear-cleanser-120ml,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/epiotic-pet-ear-cleanser_1024x1024.png?v=1630020856
6983484702902,"Aloveen Oatmeal Shampoo",grooming,$12.09,https://yourpetpa.com.au/collections/grooming/products/aloveen-oatmeal-shampoo,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/aloveen-shampoo-250ml__79315.1557050999.386.513_1024x1024.jpg?v=1630118837
6983500562614,"Aloveen Oatmeal Conditioner",grooming,$9.04,https://yourpetpa.com.au/collections/grooming/products/aloveen-oatmeal-conditioner,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/aloveen-conditioner-100ml__51940.1557051345_1024x1024.jpg?v=1655176210
7221519286454,"Quit-Itch Antiseptic & Anti - Fungal Lotion",grooming,$21.99,https://yourpetpa.com.au/collections/grooming/products/quit-itch-antiseptic-anti-fungal-lotion,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/Quit-Itch-Range__08140_1024x1024.webp?v=1655271964
6983084867766,"Fido's Everyday Shampoo for Dogs and Cats",grooming,$9.10,https://yourpetpa.com.au/collections/grooming/products/fidos-everyday-shampoo-for-dogs-and-cats,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/fidos-everyday-shampoo-for-dogs__58832.1554393248_1024x1024.jpg?v=1655177777
6978461696182,"Troy Ear Canker Drops for Dogs and Cats",grooming,$6.99,https://yourpetpa.com.au/collections/grooming/products/troy-ear-canker-drops,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/troy-ear-canker-drops__60525.1554468536_1024x1024.jpg?v=1655263092
6978448949430,"PAW Gentle Ear Cleaner 120ml",grooming,$19.87,https://yourpetpa.com.au/collections/grooming/products/paw-gentle-ear-cleaner-120ml,https://cdn.shopify.com/s/files/1/0579/5712/2230/products/PAWbyBlackmoresGentleDogandCatEarCleaner120ml-1_1024x1024.jpg?v=1675756785
